14, vertical
13, vertical
9, horizontal
12, vertical
13, horizontal
11, horizontal
12, horizontal
8, vertical
10, horizontal
15, horizontal
14, horizontal
10, horizontal
13, vertical
13, vertical
8, horizontal
14, vertical
10, vertical
13, horizontal
15, vertical
15, horizontal
13, horizontal
14, horizontal
11, horizontal
17, vertical
12, vertical
13, horizontal
12, horizontal
7, horizontal
14, vertical
12, vertical
9, horizontal
12, horizontal
13, vertical
10, horizontal
14, horizontal
13, horizontal
15, horizontal
12, vertical
12, vertical
13, horizontal
16, vertical
6, vertical
13, horizontal
11, vertical
15, horizontal
11, horizontal
15, vertical
12, horizontal
12, horizontal
13, horizontal
14, horizontal
15, horizontal
15, vertical
6, horizontal
12, vertical
16, horizontal
14, vertical
17, horizontal
12, horizontal
14, horizontal
16, horizontal
13, horizontal
13, horizontal
8, horizontal
18, vertical
14, horizontal
11, horizontal
9, vertical
16, vertical
13, vertical
11, horizontal
16, horizontal
8, horizontal
13, vertical
11, horizontal
13, horizontal
13, vertical
16, horizontal
12, horizontal
13, horizontal
11, horizontal
11, vertical
16, horizontal
17, horizontal
9, vertical
11, horizontal
12, horizontal
12, vertical
6, vertical
13, horizontal
11, vertical
11, horizontal
8, vertical
12, horizontal
7, horizontal
15, horizontal
15, vertical
15, vertical
12, horizontal
13, horizontal
14, horizontal
13, vertical
13, vertical
14, horizontal
8, horizontal
13, horizontal
8, horizontal
10, horizontal
11, horizontal
9, vertical
11, vertical
7, vertical
13, horizontal
6, horizontal
11, horizontal
11, vertical
10, horizontal
10, horizontal
12, horizontal
16, horizontal
9, vertical
11, vertical
14, horizontal
13, horizontal
14, vertical
11, horizontal
12, horizontal
17, vertical
7, horizontal
9, horizontal
7, horizontal
14, horizontal
11, horizontal
10, horizontal
16, horizontal
8, horizontal
14, vertical
14, vertical
11, horizontal
16, vertical
15, horizontal
10, horizontal
8, vertical
9, vertical
8, horizontal
15, horizontal
8, vertical
5, horizontal
9, horizontal
11, horizontal
12, vertical
12, horizontal
13, horizontal
9, horizontal
11, horizontal
11, vertical
13, vertical
13, horizontal
11, horizontal
13, vertical
13, vertical
13, horizontal
13, horizontal
12, vertical
12, vertical
14, vertical
9, horizontal
10, vertical
13, horizontal
13, vertical
8, vertical
13, horizontal
14, vertical
12, vertical
10, horizontal
13, horizontal
16, horizontal
13, horizontal
12, horizontal
10, vertical
12, horizontal
9, vertical
10, vertical
11, vertical
14, vertical
17, vertical
9, horizontal
18, horizontal
11, horizontal
14, horizontal
16, vertical
12, horizontal
13, vertical
9, horizontal
8, vertical
14, horizontal
13, horizontal
12, vertical
4, vertical
12, horizontal
12, horizontal
15, vertical
13, horizontal
9, horizontal
12, vertical
15, vertical
12, vertical
13, vertical
16, horizontal
13, horizontal
15, horizontal
8, vertical
13, vertical
14, vertical
16, horizontal
11, horizontal
11, horizontal
9, horizontal
13, horizontal
14, horizontal
11, vertical
9, horizontal
17, horizontal
11, horizontal
8, horizontal
6, vertical
15, horizontal
10, horizontal
12, horizontal
8, vertical
12, horizontal
12, vertical
15, horizontal
15, horizontal
6, horizontal
12, vertical
10, horizontal
12, vertical
9, vertical
10, horizontal
15, horizontal
9, horizontal
13, horizontal
16, vertical
15, horizontal
9, horizontal
12, horizontal
15, vertical
10, vertical
11, horizontal
11, horizontal
11, vertical
8, horizontal
14, vertical
11, vertical
7, vertical
14, horizontal
16, horizontal
10, horizontal
11, horizontal
12, horizontal
12, horizontal
16, vertical
10, vertical
15, horizontal
15, horizontal
17, vertical
9, vertical
10, horizontal
6, vertical
11, horizontal
8, horizontal
9, horizontal
13, horizontal
14, horizontal
13, vertical
16, horizontal
12, horizontal
14, horizontal
5, vertical
17, horizontal
13, horizontal
15, horizontal
16, horizontal
